stress_score,positive_affect,negative_affect,clarity_rating,prior_adherence,prior_delta,age_band,stress_state_bucket
38,38,24,3,0.78,1.94,41-60,Moderate
18,32,20,3,0.87,2.02,41-60,Moderate
23,12,31,5,0.97,6.65,41-60,Moderate
37,11,30,1,0.3,0.5,41-60,Moderate
24,36,37,4,0.37,-0.88,18-25,Moderate
2,46,16,5,0.45,-9.73,26-40,Low
24,23,18,2,0.1,3.68,18-25,Moderate
6,17,44,1,0.26,3.25,26-40,Moderate
1,15,13,5,0.97,5.5,41-60,Moderate
33,19,45,4,0.05,-3.49,18-25,Moderate
15,27,33,2,0.97,2.14,18-25,Moderate
40,38,24,5,0.07,9.74,26-40,Moderate
23,10,17,3,0.2,4.23,26-40,Moderate
34,42,14,2,0.36,-7.68,41-60,Moderate
6,18,17,4,0.33,-8.73,18-25,Moderate
22,33,46,3,0.59,-4.51,41-60,Moderate
34,10,44,5,0.97,6.98,41-60,Moderate
4,35,23,3,0.52,-1.45,26-40,Low
12,41,48,1,0.31,0.17,26-40,Moderate
29,46,32,5,0.54,-5.94,18-25,Moderate
12,41,16,3,0.69,7.61,18-25,Low
5,37,37,4,0.19,7.85,41-60,Low
10,37,34,1,0.27,2.95,18-25,Moderate
12,50,12,3,0.42,-5.56,26-40,Low
23,24,41,1,0.4,-8.7,41-60,Moderate
11,48,11,3,0.3,-4.3,41-60,Low
16,11,11,4,0.05,-4.43,41-60,Moderate
32,10,28,2,0.53,-1.04,18-25,Moderate
5,41,13,3,0.37,-5.16,18-25,Low
37,33,14,4,0.98,-2.02,26-40,Moderate
15,42,18,4,0.51,3.92,26-40,Moderate
2,29,45,3,0.71,6.19,41-60,Moderate
19,41,16,4,0.94,-2.05,26-40,Moderate
38,27,49,1,0.68,4.7,18-25,High
22,40,39,2,0.26,3.2,26-40,Moderate
25,11,10,4,0.56,7.65,26-40,Moderate
8,50,44,3,0.73,7.94,41-60,Low
23,42,33,4,0.08,-6.77,41-60,Moderate
37,49,29,3,0.37,8.8,41-60,Moderate
24,38,27,2,0.49,-1.03,26-40,Moderate
40,45,42,4,0.24,-3.49,26-40,Moderate
19,17,16,3,0.66,1.37,26-40,Moderate
11,31,31,5,0.49,8.12,41-60,Low
26,43,30,1,0.58,-0.15,26-40,Moderate
4,28,13,3,0.77,-9.13,18-25,Moderate
27,39,38,5,0.88,4.95,26-40,Moderate
36,33,38,1,0.55,1.45,41-60,High
32,30,41,1,0.32,-6.61,41-60,High
24,40,12,2,0.62,9.8,18-25,Moderate
1,36,11,2,0.74,3.94,41-60,Moderate
38,38,35,3,0.26,2.23,26-40,Moderate
6,45,29,1,0.07,-2.06,18-25,Moderate
13,21,32,4,0.58,-1.23,41-60,Moderate
21,34,31,2,0.86,-4.99,41-60,Moderate
5,24,46,1,0.83,-4.57,26-40,Moderate
4,48,13,5,0.19,-1.77,18-25,Low
34,49,25,5,0.97,4.29,18-25,Moderate
18,26,28,4,0.74,-4.98,41-60,Moderate
25,32,18,4,0.41,-6.53,41-60,Moderate
0,43,41,1,0.66,-4.4,18-25,Moderate
15,48,14,5,0.42,-5.05,26-40,Moderate
15,46,31,1,0.34,-8.16,18-25,Moderate
29,14,21,2,0.76,6.14,26-40,Moderate
35,42,39,5,0.4,2.32,26-40,Moderate
4,45,43,4,0.37,2.52,41-60,Low
31,10,14,5,0.16,-8.59,41-60,Moderate
1,37,41,3,0.8,3.54,18-25,Low
34,42,42,5,0.55,8.83,41-60,Moderate
2,10,42,2,0.21,-4.52,18-25,Moderate
11,40,11,5,0.09,3.66,41-60,Low
16,35,17,5,0.84,-9.53,18-25,Moderate
33,50,16,4,0.69,-3.03,26-40,Moderate
10,38,45,1,0.8,-4.36,41-60,Moderate
9,46,18,3,0.99,-1.75,41-60,Low
17,48,41,5,0.24,3.6,26-40,Moderate
22,34,44,1,0.38,0.69,18-25,Moderate
19,34,31,5,0.9,-2.22,41-60,Moderate
11,50,28,4,0.35,9.14,26-40,Low
30,28,25,5,0.09,2.05,18-25,Moderate
20,45,32,1,0.11,8.62,41-60,Moderate
38,23,40,2,0.44,7.75,26-40,High
10,27,21,1,0.76,2.36,18-25,Moderate
37,16,22,2,0.4,7.84,41-60,Moderate
1,14,38,5,0.23,1.63,26-40,Moderate
0,31,26,1,0.59,-3.0,41-60,Moderate
30,28,48,3,0.25,-3.39,26-40,Moderate
2,22,37,2,0.74,5.34,26-40,Moderate
40,48,10,3,0.58,9.24,26-40,Moderate
24,42,47,5,0.96,-9.76,18-25,Moderate
31,30,25,5,0.99,-8.52,18-25,Moderate
